,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2007:04,4.7,4.7,4.7,4.8,4.9,4.693964028,4.572150792,4.535084444,4.383279643,4.883977018,4.633333333,4.5,4.5,4.466666667,4.7,4.693964028,4.579275122,4.519436678,4.463888328,4.897749551,4.735165537,4.666064678,4.557843329,4.611268491,4.389423021,4.833333333,4.833333333,4.8,4.8,4.8
2008:01,5,4.8,4.7,4.8,4.8,4.927740102,4.760970758,4.614653684,4.575095655,4.414992048,4.833333333,4.633333333,4.5,4.5,4.466666667,4.927740102,4.75592902,4.612000124,4.50745865,4.532370609,4.982717147,4.783156457,4.777938279,4.710759727,4.678550032,4.933333333,4.933333333,4.933333333,4.966666667,5
2008:02,5.133338,5.1,4.9,4.7,4.8,5.003070715,4.995850445,4.807940217,4.656308815,4.616661301,4.933333333,4.833333333,4.633333333,4.5,4.5,5.003070715,5.005959048,4.819200867,4.680131507,4.515629222,5.067350071,5.010547893,4.846159749,4.851562789,4.573725228,5.333333333,5.333333333,5.366666667,5.3,5.333333333
2008:03,5.7,5.4,5.2,4.96,4.707109283,5.473937518,5.05074213,5.04177873,4.84737736,4.696479623,5.333333333,4.933333333,4.833333333,4.633333333,4.5,5.473937518,5.06630575,5.053903101,4.875164884,4.754315449,5.685092685,5.074622985,5.002384745,4.938694117,4.906828497,5.966666667,6.066666667,6.033333333,6.033333333,6
2008:04,6.6,5.8,5.5,5.24,5,6.297817497,5.608883731,5.081008778,5.071376987,4.877161575,5.966666667,5.333333333,4.933333333,4.833333333,4.633333333,6.297817497,5.584842432,5.099518074,5.109581775,4.928301681,6.52861304,5.814582316,5.07114151,5.066685037,4.931556129,6.866666667,6.866666667,6.966666667,6.9,6.866666667
2009:01,7.8,7,6,5.5,5.2,7.439064161,6.540648895,5.655251124,5.098466321,5.088507451,6.866666667,5.966666667,5.333333333,4.933333333,4.833333333,7.439064161,6.45531234,5.656762795,5.126550378,5.17404313,7.775922773,6.704159772,5.932683892,5.111694842,5.046985219,8.066666667,8.066666667,8.166666667,8.2,8.266666667
2009:02,9.1,8.3,7.4,6,5.5,9.05792191,7.884707015,6.646688437,5.667933393,5.106503051,8.066666667,6.866666667,5.966666667,5.333333333,4.933333333,9.05792191,7.724620316,6.534277121,5.626156334,5.2384456,9.221699104,8.266220995,6.875736462,5.968771558,5.006158588,9.266666667,9.266666667,9.266666667,9.266666667,9.266666667
2009:03,9.602,9.561031874,8.71,7.6,6.046854019,10.48541941,10.03992341,8.162508986,6.662895717,5.642695862,9.266666667,8.066666667,6.866666667,5.966666667,5.333333333,10.48541941,9.66549896,7.656055519,6.397061962,5.635230083,9.533485508,10.0720856,8.344001919,6.932905539,6.101628186,9.633333333,9.633333333,9.666666667,9.633333333,9.633333333
2009:04,10.16711951,9.9,9.8,8.9,7.7,9.920335293,11.68795832,10.88159143,8.292060314,6.602301049,9.633333333,9.266666667,8.066666667,6.866666667,5.966666667,9.920335293,11.50835668,9.591874759,7.540106381,6.332821782,10.35619725,10.31615599,10.30105955,8.258686572,7.016900221,10.03333333,10.03333333,9.966666667,9.933333333,9.933333333
2010:01,9.9,10.2,9.946942041,9.8,8.95,10.13544616,9.900979851,12.85876711,11.59087889,8.279935139,10.03333333,9.633333333,9.266666667,8.066666667,6.866666667,10.13544616,10.51520734,11.65875105,9.040973649,7.391601996,9.639411164,10.38677909,10.4621969,9.583149291,8.015034167,9.7,9.7,9.7,#N/A,9.766666667
2010:02,9.8,9.926481,10.1,9.845,9.7,9.17423225,10.03988755,9.652235605,13.97422519,12.12344003,9.7,10.03333333,9.633333333,9.266666667,8.066666667,9.17423225,9.92900072,10.64456009,10.98887542,8.728313327,9.722681798,9.374756904,10.7419313,9.70060106,9.306549223,9.7,9.7,9.633333333,#N/A,9.633333333
2010:03,9.6,9.6,9.817580301,9.978108,9.6,9.1902142,8.309119595,9.736399623,9.179806839,15.01362574,9.7,9.7,10.03333333,9.633333333,9.266666667,9.1902142,8.569820363,10.01527999,10.14001947,10.05027664,9.32179337,9.071113237,8.699483934,10.4669579,8.527711434,9.566666667,9.566666667,9.533333333,#N/A,9.533333333
2010:04,9.6,9.6,9.5,9.666666667,9.8,9.248990109,8.58245938,7.227533519,9.257604058,8.524890781,9.566666667,9.7,9.7,10.03333333,9.633333333,9.248990109,8.571271262,7.59844872,9.808184994,9.338138332,9.499176038,8.836086261,8.730798566,8.204130254,9.475196151,9.633333333,9.633333333,9.566666667,#N/A,9.566666667
2011:01,9.28,9.516264224,9.4,9.3,9.400156025,9.601569164,8.79444387,7.739124492,5.984269174,8.633174486,9.633333333,9.566666667,9.7,9.7,10.03333333,9.601569164,8.724718627,8.000450917,7.529649366,9.15577865,8.813352257,9.087994202,7.959719489,7.996973708,7.558030998,8.9,8.9,#N/A,#N/A,9
2011:02,8.866666,9.2,9.4,9.3,9.128748,8.252404126,9.541351286,8.222309355,6.786949382,4.676678013,8.9,9.633333333,9.566666667,9.7,9.7,8.252404126,9.210670657,7.963845999,7.580119031,6.971941758,8.77183637,8.290840858,8.408995974,7.299197059,7.45255099,9.1,9.1,#N/A,#N/A,9.033333333
2011:03,9.1,8.676562,9,9.244333333,9,8.76569148,7.463244199,9.410383584,7.566987142,5.745013866,9.1,8.9,9.633333333,9.566666667,9.7,8.76569148,6.983503245,9.004346403,6.956913934,6.584700226,9.137948406,7.452720197,6.849333291,7.572377516,6.29809142,9.1,9.066666667,#N/A,#N/A,9.066666667
2011:04,9.006365544,8.961038961,8.5,8.8,9.004846191,9.064452901,8.569055485,6.656383818,9.244485269,6.860446775,9.1,9.1,8.9,9.633333333,9.566666667,9.064452901,8.252161682,6.79216367,8.134020235,6.209763798,8.976042923,9.028510982,6.770993342,6.549067675,6.776499416,8.7,8.7,#N/A,#N/A,8.7
2012:01,8.4,8.933333334,8.8,8.4,8.7,8.351873553,8.954151893,8.235000153,5.844824627,9.043730059,8.7,9.1,9.1,8.9,9.633333333,8.351873553,8.941295064,8.940134828,6.027224077,6.511066891,8.14547377,8.831422489,8.236205396,7.220827171,5.14567246,8.266666667,#N/A,#N/A,#N/A,8.266666667
2012:02,8.1,8.3,8.891666667,8.7,8.2,7.873807018,8.027482589,8.799685484,7.90725722,5.073401673,8.266666667,8.7,9.1,9.1,8.9,7.873807018,8.028258806,8.535729265,8.662616491,4.677478076,7.980824849,7.73496432,8.541382802,8.537982639,6.058508828,#N/A,#N/A,#N/A,#N/A,
2012:03,#N/A,8,8.2,8.795,8.565634038,#N/A,7.523436754,7.730040898,8.606448724,7.54305665,#N/A,8.266666667,8.7,9.1,9.1,#N/A,7.478385882,7.693059058,8.293462091,8.220908284,#N/A,7.569581864,7.281514098,8.074311307,8.133388612,#N/A,#N/A,#N/A,#N/A,
2012:04,#N/A,#N/A,7.92083345,8.1,8.7,#N/A,#N/A,7.215794395,7.461188894,8.387309191,#N/A,#N/A,8.266666667,8.7,9.1,#N/A,#N/A,7.165518205,7.13913305,7.909144649,#N/A,#N/A,7.296745614,6.848238461,7.982212083,#N/A,#N/A,#N/A,#N/A,
2013:01,#N/A,#N/A,#N/A,7.85101625,8,#N/A,#N/A,#N/A,6.949767482,7.221343496,#N/A,#N/A,#N/A,8.266666667,8.7,#N/A,#N/A,#N/A,6.872727024,6.820422283,#N/A,#N/A,#N/A,7.004817156,6.270478049,#N/A,#N/A,#N/A,#N/A,
2013:02,#N/A,#N/A,#N/A,#N/A,7.74665625,#N/A,#N/A,#N/A,#N/A,6.72325573,#N/A,#N/A,#N/A,#N/A,8.266666667,#N/A,#N/A,#N/A,#N/A,6.352908579,#N/A,#N/A,#N/A,#N/A,6.628645887,#N/A,#N/A,#N/A,#N/A,
